,AP 1,AP 2,AP 3,AP 4
578,180.94785253014777,181.1338289344243,181.0022372797971,181.12269265334498
579,184.39610550841007,184.27007091410496,184.3965934530397,184.42448140447505
580,183.57122062140783,183.50279994455207,183.67657345163957,183.63442110666574
581,182.07012694268604,181.99672577462752,181.9459253599989,182.0484921726029
582,186.12368547620454,185.89830797299032,186.01386337936697,185.90052299146237
583,185.5937780409872,185.58488877071443,185.84377823028535,185.8138378816675
584,192.72749632015092,192.87062471527088,192.83317553031065,192.95506459738726
585,183.00879204789956,182.94314070288294,182.9605976821581,183.02796226890177
586,182.9115864958195,182.99067542479418,183.03438757984964,182.95942095227065
587,193.51925342820198,193.4655024804423,193.58366246791797,193.63025020454324
588,180.3358586567247,180.36978461628485,180.44124193638413,180.57622710730175
589,183.47754909517235,183.58144586869844,183.42220965135016,183.71896541789556
590,190.40750885010215,190.49358246982126,190.45755413600318,190.50253069210794
591,189.09813697658143,189.1930279273539,189.4273541973355,189.3929640082415
